source,target,weight
22204295,5419230,0.286
22204295,22204295,0.071
22204295,22204295,0.5
22204295,22012444,0.417
22204295,14918664,0.083
22204295,22204295,1.0
22204295,22204295,1.0
22204295,6715118,0.872
22204295,1331574,0.033
22204295,20732323,0.016
22204295,5612003,0.012
22204295,1026917,0.012
22204295,1683321,0.008
22204295,19783366,0.008
22204295,4012178,0.004
22204295,17821598,0.004
22204295,7264698,0.004
22204295,5841399,0.004
22204295,17863465,0.004
22204295,28816067,0.004
22204295,28496150,0.004
22204295,23582671,0.004
22204295,2459423,0.004
22204295,6563101,0.962
22204295,22204295,0.038
22204295,22204295,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,0.938
10627238,18171845,0.062
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,8980594,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,10627238,1.0
10627238,985197,0.356
10627238,544954,0.193
10627238,1911390,0.101
10627238,1381313,0.058
10627238,553494,0.056
10627238,10749142,0.046
10627238,1884376,0.036
10627238,13225220,0.03
10627238,2754821,0.025
10627238,1029200,0.018
10627238,14790466,0.009
10627238,18572518,0.007
10627238,7917512,0.007
10627238,701221,0.006
10627238,8263430,0.005
10627238,15965601,0.005
10627238,30289773,0.005
10627238,42481527,0.005
10627238,12584257,0.004
10627238,12993334,0.003
10627238,10660283,0.003
10627238,9719214,0.003
10627238,963773,0.003
10627238,920841,0.002
10627238,7098232,0.002
10627238,6775919,0.002
10627238,6024604,0.002
10627238,7039523,0.002
10627238,7575436,0.002
10627238,1185346,0.002
10627238,10627238,1.0
10627238,5826282,0.38
10627238,10801329,0.304
10627238,17195015,0.185
10627238,18186289,0.112
10627238,10627238,0.019
8446573,445106,0.439
8446573,65389,0.366
8446573,4358089,0.098
8446573,5180973,0.037
8446573,12589820,0.007
8446573,6862077,0.005
8446573,4304189,0.005
8446573,3391068,0.003
8446573,3329142,0.003
8446573,422713,0.003
8446573,392214,0.002
8446573,183673,0.002
8446573,727955,0.002
8446573,1363189,0.002
8446573,204739,0.002
8446573,1667306,0.002
8446573,1126905,0.002
8446573,148258,0.002
8446573,782920,0.002
8446573,1471561,0.002
8446573,336746,0.002
8446573,1891942,0.002
8446573,1116406,0.002
8446573,783302,0.002
8446573,2957868,0.002
8446573,894198,0.002
8446573,820391,0.002
8446573,30793,0.002
8446573,1006426,0.002
8446573,1536164,0.002
8446573,6358735,1.0
8446573,7658554,0.952
8446573,1447119,0.012
8446573,31140932,0.012
8446573,18077159,0.012
8446573,10448534,0.012
8446573,810438,0.506
8446573,616428,0.22
8446573,1307267,0.061
